,geo_precision,count,boundary,lon,lat
0,1.0,66,,-0.1167,51.5
1,1.0,21,,-6.5,54.5
2,1.0,7,,-5.9333,54.5833
3,1.0,4,,-1.1833,52.7833
4,1.0,3,,-1.7833,52.5
5,1.0,3,,-3.8333,53.2833
6,1.0,3,,-3.75,53.3
7,1.0,3,,-7.3333,55.0
8,1.0,2,,-1.8667,50.8
9,1.0,2,,0.2167,51.45
10,1.0,2,,-4.7097,51.6731
11,1.0,2,,-0.4833,51.8167
12,1.0,2,,0.3833,51.9167
13,1.0,2,,-2.35,52.6167
14,1.0,2,,-5.6667,54.6667
15,1.0,2,,-6.9167,54.9333
16,1.0,2,,-3.8667,55.7667
17,1.0,1,,-3.5,50.45
18,1.0,1,,-0.0833,50.9167
19,1.0,1,,-0.5667,51.2167
20,1.0,1,,-3.4167,51.4167
21,1.0,1,,-0.2833,51.45
22,1.0,1,,-2.5833,51.45
23,1.0,1,,-1.0333,51.5667
24,1.0,1,,-3.15,51.8
25,1.0,1,,-4.9167,51.8333
26,1.0,1,,0.1167,52.2
27,1.0,1,,-1.5833,52.3333
28,1.0,1,,-1.7833,52.4167
29,1.0,1,,-2.8167,53.3667
30,1.0,1,,-2.3833,53.5833
31,1.0,1,,-2.35,53.7667
32,1.0,1,,-6.3333,54.1833
33,1.0,1,,-6.6667,54.35
34,1.0,1,,-5.5,54.3667
35,1.0,1,,-6.5167,54.5
36,1.0,1,,-7.1667,54.55
37,1.0,1,,-7.0,54.5833
38,1.0,1,,-6.4167,54.6167
39,1.0,1,,-5.8167,54.6333
40,1.0,1,,-5.7333,54.7167
41,1.0,1,,-7.0167,54.7833
42,1.0,1,,-2.0833,57.35
43,2.0,1,GBR.1.36_1,-0.1667,51.5
44,2.0,1,GBR.1.17_1,-0.5,52.0
45,2.0,1,GBR.1.4_1,-1.8167,52.5333
46,2.0,1,GBR.1.34_1,-1.6175,54.945
47,2.0,1,GBR.3.2_1,-2.6667,57.1667
48,3.0,1,GBR.1_1,-1.9667,52.5
49,4.0,495,GBR,-4.0,55.0
50,1.0,62,,37.6156,55.7522
51,1.0,11,,54.9641,57.2682
52,1.0,6,,39.7257,43.5992
53,1.0,4,,133.424,45.4794
54,1.0,4,,36.1873,51.7373
55,1.0,3,,58.1391,55.2781
56,1.0,2,,131.975,43.8059
57,1.0,2,,42.2366,48.6103
58,1.0,2,,77.5991,53.622
59,1.0,2,,60.6125,56.8575
60,1.0,1,,132.91,42.8118
61,1.0,1,,60.219,53.1109
62,1.0,1,,37.4002,54.1546
63,1.0,1,,73.4,55.0
64,1.0,1,,56.2855,58.0174
65,1.0,1,,30.2642,59.8944
66,3.0,1,RUS.68_1,53.3703,56.1292
67,4.0,368,RUS,100.0,60.0
68,1.0,22,,111.117,22.2
69,1.0,12,,112.395,33.0523
70,1.0,12,,116.388,39.9289
71,1.0,4,,121.458,31.2222
72,1.0,3,,117.654,26.0667
73,1.0,2,,113.291,40.0936
74,1.0,1,,112.701,22.2937
75,1.0,1,,110.583,31.0167
76,1.0,1,,117.281,31.8639
77,2.0,22,CHN.17.9_1,129.336,42.7683
78,2.0,9,CHN.6.5_1,114.945,23.9547
79,2.0,8,CHN.6.4_1,113.25,23.1167
80,2.0,2,CHN.6.7_1,113.083,22.5833
81,2.0,2,CHN.3.1_1,106.553,29.5628
82,2.0,1,CHN.8.2_1,105.601,27.2239
83,3.0,8,CHN.4_1,117.843,26.545
84,3.0,2,CHN.9_1,109.484,18.9394
85,3.0,2,CHN.7_1,109.0,24.0
86,3.0,1,CHN.9_1,109.5,19.0
87,3.0,1,CHN.31_1,120.0,29.0
88,3.0,1,CHN.21_1,92.0,33.0
89,4.0,302,CHN,105.0,35.0
90,4.0,6,CHN,102.766,24.8115
91,1.0,17,,51.5148,35.75
92,1.0,6,,51.4216,35.705
93,1.0,3,,52.5388,29.6036
94,1.0,2,,57.8724,27.5214
95,1.0,2,,55.1471,30.1066
96,1.0,2,,46.1763,35.527
97,1.0,2,,49.3401,36.068
98,1.0,1,,48.2848,32.5883
99,1.0,1,,51.6714,32.6597
