,geo_precision,count,boundary,lon,lat
0,1,3,,26.4127,40.1555
1,1,1,,26.556,41.6763
2,1,2,,26.5587,41.6757
3,1,1,,26.972,38.7998
4,1,1,,27.0244,39.5961
5,1,1,,27.1218,38.387
6,1,1,,27.1302,38.4173
7,1,14,,27.1384,38.4127
8,1,1,,27.1436,38.4385
9,1,1,,27.1638,38.4672
10,1,1,,27.17,38.3713
11,1,1,,27.3179,38.3205
12,1,2,,27.4265,38.612
13,1,1,,27.4292,37.0383
14,1,1,,27.4356,38.623
15,1,3,,27.5085,40.978
16,1,1,,27.6842,36.7378
17,1,4,,27.8396,37.845
18,1,1,,27.8443,37.8472
19,1,1,,27.8861,39.6492
20,1,1,,28.0003,41.285
21,1,1,,28.0745,38.4688
22,1,1,,28.152,41.0835
23,1,1,,28.6909,36.9625
24,1,1,,28.7232,40.9827
25,1,1,,28.7748,40.996
26,1,2,,28.8506,40.9975
27,1,1,,28.8685,41.1065
28,1,2,,28.8712,40.9894
29,1,2,,28.8762,41.0435
30,1,1,,28.8836,41.0185
31,1,2,,28.8989,41.0523
32,1,1,,28.9001,41.077
33,1,3,,28.9242,41.0471
34,1,7,,28.9408,41.0225
35,1,23,,28.9578,41.011
36,1,5,,28.9659,41.0098
37,1,2,,28.9763,41.0305
38,1,32,,28.9775,41.0369
39,1,1,,28.9821,41.0789
40,1,12,,28.9872,41.0605
41,1,1,,28.9918,41.0378
42,1,8,,29.0099,41.0454
43,1,2,,29.026,41.0478
44,1,1,,29.0294,37.7887
45,1,1,,29.0355,41.0
46,1,1,,29.05,41.1667
47,1,16,,29.0521,40.9813
48,1,3,,29.0601,40.1956
49,1,1,,29.0605,41.0396
50,1,1,,29.0607,40.1878
51,1,1,,29.0658,41.0005
52,1,1,,29.0801,41.0815
53,1,3,,29.0875,37.7742
54,1,4,,29.1684,40.9541
55,1,1,,29.3696,40.7641
56,1,1,,29.4057,38.6736
57,1,1,,29.4058,38.6732
58,1,1,,29.4058,38.6735
59,1,1,,29.9169,40.7669
60,1,1,,29.9417,40.7639
61,1,1,,29.9791,39.4197
62,1,1,,29.9793,40.1419
63,1,2,,29.9833,39.4242
64,1,1,,30.1406,36.295
65,1,1,,30.2819,37.7184
66,1,1,,30.3471,38.9522
67,1,1,,30.4017,40.7771
68,1,2,,30.4033,40.7806
69,1,1,,30.5049,39.7817
70,1,2,,30.5206,39.7767
71,1,1,,30.5374,38.758
72,1,2,,30.5433,38.7567
73,1,1,,30.5522,37.7644
74,1,5,,30.6956,36.9081
75,1,1,,30.7282,36.8911
76,1,1,,31.163,40.8382
77,1,2,,31.6061,40.7358
78,1,1,,31.7931,41.4514
79,1,2,,32.3375,41.6358
80,1,6,,32.4846,37.8714
81,1,1,,32.4976,37.8717
82,1,1,,32.5841,39.9723
83,1,1,,32.6328,39.9533
84,1,2,,32.6839,40.2317
85,1,1,,32.6909,39.8019
