,geo_precision,count,boundary,lon,lat
9898,1,2,AFG.1.1_1,70.9066,37.0025
9901,1,1,AFG.1.1_1,70.9267,36.9674
9908,1,2,AFG.1.1_1,71.0688,36.9111
9818,1,1,AFG.1.3_1,70.3209,37.1657
9850,1,2,AFG.1.3_1,70.5592,37.2714
9854,1,11,AFG.1.3_1,70.58,37.1166
9885,1,1,AFG.1.5_1,70.8162,36.8265
9826,1,1,AFG.1.9_1,70.3773,37.6533
9851,1,2,AFG.1.9_1,70.5619,37.6172
9865,1,1,AFG.1.9_1,70.6563,37.4212
9373,1,13,AFG.10.1_1,65.2509,34.5195
9378,1,3,AFG.10.1_1,65.317,34.8357
9313,1,1,AFG.10.5_1,64.6292,34.3864
9339,1,1,AFG.10.5_1,64.8627,34.4397
9360,1,1,AFG.11.1_1,65.0607,33.1348
9283,1,1,AFG.11.10_1,64.2333,31.2666
9290,1,1,AFG.11.10_1,64.319,31.3918
9291,1,2,AFG.11.10_1,64.3226,31.4817
9293,1,1,AFG.11.10_1,64.3293,31.511
9273,1,1,AFG.11.11_1,63.8167,30.55
9332,1,4,AFG.11.12_1,64.8359,32.0728
9271,1,1,AFG.11.13_1,63.6971,32.0928
9270,1,1,AFG.11.2_1,63.4752,30.3149
9275,1,2,AFG.11.3_1,64.0149,29.4209
9277,1,1,AFG.11.3_1,64.1081,30.707
9278,1,1,AFG.11.3_1,64.1167,31.0667
9281,1,1,AFG.11.3_1,64.2,31.1167
9359,1,1,AFG.11.4_1,65.0304,32.4016
9361,1,1,AFG.11.4_1,65.0828,32.566
9363,1,1,AFG.11.4_1,65.0964,32.3008
9365,1,1,AFG.11.4_1,65.1191,32.3226
9292,1,2,AFG.11.5_1,64.3266,31.6728
9294,1,15,AFG.11.5_1,64.3383,31.5939
9296,1,2,AFG.11.5_1,64.3534,31.6639
9299,1,99,AFG.11.5_1,64.3716,31.5938
9300,1,1,AFG.11.5_1,64.3776,31.7066
9304,1,1,AFG.11.5_1,64.5053,31.625
9320,1,1,AFG.11.6_1,64.754,32.1514
9279,1,10,AFG.11.7_1,64.1176,31.5211
9282,1,1,AFG.11.7_1,64.2312,31.6799
9284,1,1,AFG.11.7_1,64.259,31.6317
9285,1,1,AFG.11.7_1,64.2591,31.6317
