,geo_precision,count,boundary,lon,lat
1572,4,22,AFG,66,33
1549,1,5,AFG.12.7_1,62.1997,34.3482
1560,1,48,AFG.14.6_1,69.1833,34.5167
1569,1,1,AFG.17.4_1,69.9204,33.3395
1558,1,5,AFG.19.6_1,68.857,36.729
1559,1,2,AFG.21.4_1,69.1,34.2147
1571,1,1,AFG.22.1_1,70.7558,34.0462
1570,1,8,AFG.22.9_1,70.4515,34.4265
1556,1,3,AFG.25.14_1,68.4712,32.8107
1561,1,1,AFG.26.4_1,69.2132,33.5846
1566,1,3,AFG.26.9_1,69.4987,33.6392
1562,1,1,AFG.28.1_1,69.2647,34.9459
1563,1,1,AFG.28.1_1,69.265,34.9669
1557,1,6,AFG.3.2_1,68.7083,36.1307
1567,1,3,AFG.31.10_1,69.5336,36.7341
1564,1,3,AFG.31.12_1,69.45,37.1333
1568,1,1,AFG.31.2_1,69.8146,37.3977
1565,1,3,AFG.31.4_1,69.4529,37.3841
1552,1,1,AFG.32.3_1,66.6325,32.9277
1553,1,1,AFG.4.1_1,66.8972,36.7564
1554,1,4,AFG.4.6_1,66.9333,36.65
1550,1,2,AFG.7.3_1,62.4654,32.6357
1551,1,1,AFG.8.11_1,64.2932,35.6875
1555,1,50,AFG.9.6_1,68.4225,33.5508
705,1,1,AIA,-63.15,18.1667
1087,4,5,ALB,20,41
1086,1,1,ALB.11.2_1,19.8189,41.3275
1085,1,1,ALB.12.3_1,19.655,40.5306
1499,4,3,ARE,54,24
1496,1,1,ARE.1.1_1,54.3667,24.4667
1495,1,1,ARE.1.3_1,53.75,23.1333
1497,1,1,ARE.3.3_1,55.2444,25.1723
1498,1,20,ARE.3.3_1,55.28,25.2522
704,4,9,ARG,-64,-34
703,1,4,ARG.1.82_1,-58.6725,-34.5875
1454,4,11,ARM,45,40
1451,1,1,ARM.11_1,45.6723,39.8417
1450,1,1,ARM.4_1,44.5136,40.1811
1449,1,1,ARM.8_1,43.8453,40.7942
1452,1,1,ARM.9_1,46.3981,39.3813
1453,1,2,ARM.9_1,46.4058,39.2075
1905,4,28,AUS,135,-25
1876,1,11,AUS.10.44_1,144.967,-37.8167
1874,1,1,AUS.10.46_1,142.163,-34.1855
1875,1,1,AUS.10.55_1,142.4,-38.3
1879,1,2,AUS.10.56_1,145.341,-37.5329
1877,1,1,AUS.10.69_1,145.117,-38.1333
1880,1,1,AUS.10.79_1,145.374,-37.6579
1871,1,2,AUS.11.139_1,118.967,-31.3333
1868,1,2,AUS.11.17_1,115.345,-33.6525
1870,1,7,AUS.11.18_1,115.833,-31.9333
1869,1,1,AUS.11.26_1,115.767,-32.1167
1886,1,6,AUS.2.1_1,149.217,-35.2833
1898,1,1,AUS.5.100_1,151.751,-32.8652
1891,1,2,AUS.5.106_1,151,-33.8167
1893,1,1,AUS.5.112_1,151.242,-33.9167
1892,1,10,AUS.5.122_1,151.217,-33.8833
1897,1,3,AUS.5.130_1,151.583,-33.0667
1887,1,1,AUS.5.147_1,150.299,-34.6585
1885,1,1,AUS.5.152_1,148.91,-34.8404
1890,1,1,AUS.5.27_1,150.883,-33.9833
1895,1,2,AUS.5.32_1,151.356,-32.8321
1881,1,1,AUS.5.77_1,146.374,-33.2987
1883,1,1,AUS.5.77_1,147.145,-33.0881
1896,1,1,AUS.5.78_1,151.554,-33.111
1894,1,1,AUS.5.88_1,151.251,-33.7985
1901,1,1,AUS.5.96_1,152.9,-30.85
1878,1,1,AUS.7.13_1,145.317,-16.25
1900,1,1,AUS.7.26_1,152.874,-25.2905
1904,1,1,AUS.7.28_1,153.3,-27.8833
1888,1,3,AUS.7.57_1,150.317,-23.4833
1889,1,2,AUS.7.57_1,150.506,-23.3803
1899,1,2,AUS.7.59_1,152.576,-27.4655
1902,1,1,AUS.7.62_1,153,-26.5
1903,1,6,AUS.7.8_1,153.017,-27.5
1873,1,3,AUS.8.1_1,138.6,-34.9333
1872,1,2,AUS.8.68_1,137.565,-33.0327
1884,1,1,AUS.9.15_1,147.33,-42.88
1882,1,2,AUS.9.21_1,147.135,-41.4388
1005,4,6,AUT,13.333333,47.333333
1004,1,3,AUT.9.1_1,16.3667,48.2
1463,4,4,AZE,47.5,40.5
1462,1,2,AZE.1.2_1,49.8822,40.3953
1460,1,5,AZE.10.3_1,47.1453,39.6009
1461,1,1,AZE.2.15_1,48.9806,39.5936
1457,1,2,AZE.4.10_1,45.7681,41.0789
1458,1,4,AZE.4.3_1,45.8161,40.5656
1455,1,1,AZE.4.7_1,45.0799,41.2097
1456,1,4,AZE.4.7_1,45.0828,41.0756
1459,1,1,AZE.5.1_1,46.0383,40.1067
1205,4,1,BDI,30,-3.5
1204,1,2,BDI.3.9_1,29.5068,-3.6128
930,4,3,BEL,4,50.833333
929,1,5,BEL.1.1_1,4.33333,50.8333
927,1,3,BEL.2.3_1,3.88341,51.0053
928,1,2,BEL.2.3_1,4.31444,51.1705
855,4,2,BEN,2.25,9.5
829,4,2,BFA,-2,13
827,1,1,BFA.5.1_1,-2.36667,12.25
828,1,1,BFA.8.2_1,0.357778,12.0622
1790,4,65,BGD,90,24
1788,1,2,BGD.2.1_1,92.2262,22.1965
1783,1,1,BGD.2.6_1,92.1136,21.2574
1784,1,1,BGD.2.6_1,92.1396,21.2445
1785,1,2,BGD.2.6_1,92.1572,21.1713
1786,1,10,BGD.2.6_1,92.1643,21.219
1787,1,2,BGD.2.6_1,92.1833,21.1345
1789,1,1,BGD.2.6_1,92.3058,20.8624
1782,1,5,BGD.2.8_1,91.9667,23.1
1781,1,1,BGD.2.9_1,90.8333,22.8333
1779,1,8,BGD.3.1_1,90.4086,23.7231
1780,1,2,BGD.3.11_1,90.6167,23.65
1774,1,2,BGD.3.14_1,89.55,23.75
